id,steps,average heartrate,average stress,average sleep start,duration,average midsleep,average awake time
101,3392.3333333333335,66.33333333333333,18.5,21:12,10.986666666666666,02:32,08:00
102,8260.8,91.4,34.8,22:00,13.03,05:00,11:00
105,5422.166666666667,76.66666666666667,34.833333333333336,00:28,9.541666666666666,05:10,09:50
107,5502.5,78.0,31.75,02:00,8.415,06:30,10:30
108,4184.0,82.0,24.0,02:00,8.4,06:00,11:00
109,5852.0,89.4,39.6,00:27,6.8875,04:14,07:14
110,5292.0,86.75,44.5,02:00,10.61,07:30,13:00
111,8595.833333333334,72.16666666666667,32.166666666666664,00:20,9.405,05:10,09:31
112,8999.0,95.75,35.5,02:32,8.16,06:30,10:30
113,4158.0,74.66666666666667,34.833333333333336,01:19,7.846666666666667,05:19,09:10
115,4970.166666666667,83.16666666666667,27.0,01:10,7.291666666666667,05:10,08:30
116,6801.333333333333,74.33333333333333,26.5,01:36,8.866,06:00,10:47
117,3590.0,77.33333333333333,25.666666666666668,02:16,6.815,05:48,09:10
118,3196.3333333333335,76.33333333333333,35.0,23:14,9.36,04:00,08:45
119,11923.666666666666,68.33333333333333,27.333333333333332,02:10,7.72,06:00,09:40
121,2950.2,75.8,29.0,00:45,9.03,05:15,09:31
122,8210.166666666666,80.5,35.166666666666664,00:23,7.686,04:23,08:11
123,8449.5,58.166666666666664,18.5,00:20,8.556666666666667,04:40,09:00
124,7492.0,65.5,24.0,01:29,8.173333333333334,05:20,09:29
125,3865.3333333333335,79.5,28.0,00:18,7.91,04:19,08:09
126,2772.3333333333335,80.66666666666667,30.0,00:50,9.35,05:49,10:20
127,4272.8,84.6,41.0,00:30,7.5275,04:00,08:00
129,9644.4,83.4,28.6,03:00,7.720000000000001,06:47,10:23
130,1549.0,85.4,40.6,23:20,9.736666666666666,04:19,08:55
131,5606.4,81.2,32.0,03:05,9.203999999999999,07:57,12:10
